counter,dt,ax,ay,az,gx,gy,gz
12033,0.02015625,1373,8599,4912,9,-3,1
12288,0.019921875000000002,1382,8586,4925,9,-3,0
12542,0.01984375,1409,8586,4933,9,-4,1
12800,0.02015625,1464,8556,4942,9,-3,0
13058,0.02015625,1460,8594,4938,10,-3,1
13315,0.020078125,1517,8576,4942,9,-3,0
13572,0.020078125,1532,8547,4941,9,-3,1
13827,0.019921875000000002,1571,8571,4906,9,-4,1
14082,0.019921875000000002,1593,8565,4919,9,-4,0
14340,0.02015625,1586,8555,4947,9,-5,1
14598,0.02015625,1623,8552,4954,8,-4,1
14854,0.02,1625,8562,4936,10,-4,1
15109,0.019921875000000002,1691,8538,4934,9,-4,1
15363,0.01984375,1699,8535,4946,9,-4,2
15617,0.01984375,1716,8512,4934,10,-4,1
15873,0.02,1766,8531,4939,10,-4,0
16129,0.02,1803,8506,4933,10,-5,0
16386,0.020078125,1781,8496,4938,9,-4,0
16644,0.02015625,1797,8503,4924,9,-3,1
16899,0.019921875000000002,1869,8499,4940,9,-4,1
17153,0.01984375,1896,8484,4940,9,-4,1
17411,0.02015625,1880,8465,4910,8,-4,1
17668,0.020078125,1931,8481,4948,10,-4,1
17924,0.02,1963,8459,4923,8,-4,1
18178,0.01984375,1999,8491,4912,9,-4,1
18434,0.02,2011,8432,4947,9,-4,0
18691,0.020078125,2029,8459,4930,9,-4,1
18949,0.02015625,2060,8424,4949,9,-3,1
19205,0.02,2089,8445,4962,10,-4,1
19461,0.02,2133,8420,4938,9,-4,0
19716,0.019921875000000002,2119,8395,4917,9,-4,2
19972,0.02,2185,8405,4939,9,-4,1
20226,0.01984375,2204,8407,4950,8,-4,2
20480,0.01984375,2223,8427,4935,9,-4,1
20737,0.020078125,2234,8405,4921,9,-4,1
20992,0.019921875000000002,2267,8398,4930,10,-5,1
21250,0.02015625,2267,8362,4955,9,-5,0
21505,0.019921875000000002,2279,8369,4971,9,-5,1
21763,0.02015625,2325,8365,4936,9,-4,1
22017,0.01984375,2384,8351,4949,10,-5,0
22271,0.01984375,2420,8351,4956,9,-4,1
22527,0.02,2429,8370,4930,9,-5,1
22785,0.02015625,2428,8348,4927,10,-6,0
23039,0.01984375,2451,8319,4939,9,-5,1
23295,0.02,2505,8308,4947,9,-4,1
23550,0.019921875000000002,2532,8346,4935,9,-5,0
23807,0.020078125,2534,8294,4935,9,-4,0
24063,0.02,2592,8310,4934,9,-4,1
24320,0.020078125,2582,8289,4941,8,-4,0
24575,0.019921875000000002,2649,8301,4933,9,-6,0
24830,0.019921875000000002,2650,8258,4948,10,-5,0
25087,0.020078125,2684,8289,4919,9,-4,0
25342,0.019921875000000002,2686,8250,4930,9,-4,0
25599,0.020078125,2738,8239,4957,9,-5,1
25853,0.01984375,2767,8246,4912,9,-5,1
26108,0.019921875000000002,2760,8237,4926,8,-4,1
26362,0.01984375,2797,8243,4931,9,-5,0
26616,0.01984375,2839,8205,4932,10,-5,0
26871,0.019921875000000002,2881,8242,4932,8,-5,1
27127,0.02,2879,8178,4947,9,-5,1
27381,0.01984375,2938,8188,4934,9,-4,0
27635,0.01984375,2935,8170,4967,9,-4,0
27893,0.02015625,2966,8171,4926,9,-4,1
28149,0.02,2957,8157,4926,9,-5,0
28406,0.020078125,2983,8155,4932,8,-4,1
28663,0.020078125,3021,8118,4952,9,-4,1
28917,0.01984375,3063,8126,4952,9,-4,1
29174,0.020078125,3075,8111,4952,10,-5,1
29432,0.02015625,3112,8105,4954,8,-5,0
29688,0.02,3097,8084,4927,9,-4,1
29946,0.02015625,3141,8088,4956,8,-5,1
30204,0.02015625,3178,8088,4940,9,-6,1
30460,0.02,3203,8050,4917,9,-5,0
30714,0.01984375,3229,8075,4907,8,-6,2
30971,0.020078125,3260,8059,4924,8,-5,1
31229,0.02015625,3288,8034,4946,9,-5,1
31485,0.02,3280,7993,4957,9,-6,0
31743,0.02015625,3331,8030,4969,9,-5,0
31999,0.02,3354,8001,4927,10,-4,1
32255,0.02,3365,8007,4952,9,-5,1
32513,0.02015625,3414,7993,4947,8,-5,1
32767,0.01984375,3408,7998,4968,9,-5,1
33023,0.02,3452,7965,4926,9,-5,0
33277,0.01984375,3475,7949,4970,9,-5,1
33534,0.020078125,3501,7937,4927,9,-6,0
33792,0.02015625,3532,7934,4916,9,-5,1
34050,0.02015625,3564,7918,4931,8,-5,1
34305,0.019921875000000002,3593,7922,4941,8,-6,1
34562,0.020078125,3594,7885,4947,8,-6,1
34820,0.02015625,3616,7886,4948,8,-6,2
35078,0.02015625,3628,7839,4916,9,-5,1
35334,0.02,3688,7819,4950,9,-6,1
35588,0.01984375,3683,7834,4939,9,-5,1
35844,0.02,3747,7836,4971,9,-5,1
36101,0.020078125,3790,7836,4934,9,-6,1
36358,0.020078125,3780,7812,4949,9,-5,1
36613,0.019921875000000002,3761,7810,4930,8,-6,1
36868,0.019921875000000002,3803,7800,4925,8,-6,1
37125,0.020078125,3842,7760,4956,9,-7,0
37381,0.02,3861,7760,4944,8,-6,1
37637,0.02,3869,7733,4929,9,-5,1
37895,0.02015625,3871,7712,4933,8,-6,1
38149,0.01984375,3928,7741,4936,8,-5,0
38404,0.019921875000000002,3962,7714,4944,9,-6,2
38662,0.02015625,3977,7681,4948,8,-6,1
38920,0.02015625,4012,7678,4961,9,-5,1
39175,0.019921875000000002,4048,7646,4942,8,-6,1
39433,0.02015625,4048,7690,4944,9,-6,1
39688,0.019921875000000002,4074,7655,4965,9,-6,1
39942,0.01984375,4080,7634,4961,9,-6,1
40197,0.019921875000000002,4128,7640,4952,8,-6,-1
40453,0.02,4150,7554,4922,9,-6,0
40707,0.01984375,4157,7616,4941,9,-6,1
40961,0.01984375,4215,7584,4933,8,-6,0
41218,0.020078125,4210,7558,4962,8,-6,1
41475,0.020078125,4241,7565,4933,8,-5,1
41732,0.020078125,4239,7548,4956,8,-6,1
41990,0.02015625,4289,7537,4928,8,-6,1
42245,0.019921875000000002,4320,7536,4976,9,-6,1
42503,0.02015625,4341,7502,4951,9,-6,0
42758,0.019921875000000002,4346,7496,4949,8,-6,1
43016,0.02015625,4387,7478,4931,9,-6,0
43273,0.020078125,4383,7443,4950,8,-6,1
43528,0.019921875000000002,4426,7449,4956,9,-7,1
43783,0.019921875000000002,4411,7431,4950,9,-6,1
44039,0.02,4459,7423,4942,8,-6,1
44295,0.02,4501,7412,4936,9,-6,1
44550,0.019921875000000002,4501,7374,4942,8,-7,1
44805,0.019921875000000002,4516,7369,4952,9,-7,2
45063,0.02015625,4559,7364,4953,8,-6,2
45320,0.020078125,4573,7360,4941,8,-7,1
45574,0.01984375,4624,7327,4948,8,-6,0
45831,0.020078125,4611,7317,4971,9,-7,2
46085,0.01984375,4651,7297,4958,8,-6,1
46341,0.02,4648,7261,4962,8,-7,1
46595,0.01984375,4704,7272,4942,9,-6,1
46852,0.020078125,4729,7272,4969,8,-6,1
47106,0.01984375,4720,7249,4932,8,-6,1
47361,0.019921875000000002,4781,7219,4935,8,-6,1
47615,0.01984375,4798,7203,4958,8,-6,1
47869,0.01984375,4791,7189,4950,8,-6,1
48123,0.01984375,4821,7146,4940,8,-7,1
48379,0.02,4844,7181,4954,8,-7,1
48637,0.02015625,4894,7111,4923,8,-7,1
48892,0.019921875000000002,4897,7125,4969,8,-7,1
49149,0.020078125,4916,7106,4964,8,-7,2
49405,0.02,4897,7078,4936,8,-7,0
49660,0.019921875000000002,4941,7070,4991,9,-7,1
49914,0.01984375,4960,7039,4953,7,-7,0
50171,0.020078125,4988,7053,4960,8,-7,1
50425,0.01984375,5009,7045,4954,7,-7,1
50681,0.02,5051,7017,4978,8,-7,1
50935,0.01984375,5093,7032,4937,7,-6,0
51192,0.020078125,5065,6979,4961,8,-7,0
51450,0.02015625,5096,6957,4990,8,-6,1
51705,0.019921875000000002,5125,6943,4916,7,-8,0
51960,0.019921875000000002,5131,6957,4955,8,-7,1
52216,0.02,5157,6928,4967,7,-7,1
52472,0.02,5183,6887,4938,8,-7,0
52727,0.019921875000000002,5213,6896,4965,8,-6,0
52982,0.019921875000000002,5259,6862,4972,8,-7,0
53236,0.01984375,5252,6830,4971,8,-7,1
53491,0.019921875000000002,5265,6827,4968,8,-6,1
53747,0.02,5312,6821,4969,7,-7,1
54004,0.020078125,5305,6813,4967,8,-6,2
54261,0.020078125,5333,6791,4948,8,-7,2
54517,0.02,5365,6765,4975,7,-8,1
54774,0.020078125,5381,6755,4938,8,-6,1
55030,0.02,5403,6727,4952,7,-7,1
55285,0.019921875000000002,5398,6707,4941,7,-7,0
55540,0.019921875000000002,5451,6710,4954,6,-8,1
55796,0.02,5421,6676,4941,8,-7,1
56051,0.019921875000000002,5491,6691,4955,8,-8,1
56308,0.020078125,5492,6638,4958,7,-7,1
56562,0.01984375,5528,6605,4957,8,-8,0
56816,0.01984375,5557,6615,4965,8,-7,1
57072,0.02,5605,6590,4947,8,-7,1
57326,0.01984375,5569,6610,4964,7,-7,1
57580,0.01984375,5601,6565,4940,8,-6,1
57835,0.019921875000000002,5619,6531,4953,7,-7,1
58089,0.01984375,5619,6534,4954,8,-8,1
58344,0.019921875000000002,5683,6517,4937,8,-7,0
58600,0.02,5684,6490,4969,7,-7,2
58855,0.019921875000000002,5723,6423,4956,7,-8,1
59113,0.02015625,5743,6431,4966,7,-8,2
59367,0.01984375,5736,6436,4933,8,-7,1
59624,0.020078125,5772,6390,4979,7,-8,1
59880,0.02,5774,6403,4965,8,-7,1
60137,0.020078125,5796,6407,4938,8,-7,0
60394,0.020078125,5856,6370,4976,7,-8,1
60648,0.01984375,5848,6357,4964,7,-7,1
60905,0.020078125,5871,6329,4958,7,-8,0
61160,0.019921875000000002,5884,6297,4955,6,-8,1
61417,0.020078125,5890,6285,4941,8,-8,1
61672,0.019921875000000002,5954,6283,4958,7,-8,1
61927,0.019921875000000002,5937,6236,4984,7,-6,1
62184,0.020078125,5984,6228,4977,7,-8,1
62442,0.02015625,5991,6204,4943,6,-8,0
62700,0.02015625,5997,6201,4963,6,-8,1
62957,0.020078125,6046,6143,4957,8,-7,1
63213,0.02,6035,6150,4975,7,-7,0
63469,0.02,6057,6129,4954,7,-8,0
63727,0.02015625,6065,6090,4968,6,-7,0
63982,0.019921875000000002,6081,6077,4984,7,-8,1
64240,0.02015625,6076,6067,4994,7,-8,1
64497,0.020078125,6140,6018,4939,7,-8,1
64754,0.020078125,6140,5999,4945,6,-8,1
65010,0.02,6157,6024,4982,7,-9,1
65268,0.02015625,6190,5993,4979,6,-7,0
65525,0.020078125,6212,5943,4951,8,-8,1
243,0.01984375,6222,5947,4985,7,-9,0
500,0.020078125,6245,5934,4942,7,-8,1
757,0.020078125,6234,5899,4954,7,-7,1
1015,0.02015625,6267,5890,4953,6,-8,0
1273,0.02015625,6274,5870,4977,6,-8,1
1531,0.02015625,6314,5847,4944,6,-8,1
1785,0.01984375,6294,5832,4984,7,-8,0
2042,0.020078125,6343,5782,4931,7,-8,1
2300,0.02015625,6342,5765,4964,6,-8,1
2558,0.02015625,6385,5769,4990,6,-8,1
2814,0.02,6417,5724,4962,7,-8,1
3072,0.02015625,6412,5719,4971,7,-8,1
3330,0.02015625,6423,5712,5011,6,-8,0
3584,0.01984375,6459,5684,4978,7,-8,1
3842,0.02015625,6433,5686,4973,7,-9,0
4099,0.020078125,6487,5641,4972,7,-9,1
4355,0.02,6503,5618,4945,7,-9,1
4609,0.01984375,6497,5601,4966,7,-8,0
4867,0.02015625,6529,5598,4976,6,-8,0
5122,0.019921875000000002,6560,5531,4979,7,-7,0
5378,0.02,6569,5564,4986,6,-8,1
5633,0.019921875000000002,6592,5505,4967,6,-8,1
5891,0.02015625,6601,5470,4983,7,-9,1
6147,0.02,6599,5458,4961,7,-9,1
6401,0.01984375,6630,5455,4967,7,-8,0
6655,0.01984375,6634,5422,4950,7,-8,2
6913,0.02015625,6646,5412,4952,6,-8,0
7168,0.019921875000000002,6692,5416,4963,7,-8,1
7425,0.020078125,6696,5332,4979,6,-9,1
7679,0.01984375,6713,5336,4979,6,-8,0
7937,0.02015625,6728,5351,4987,6,-9,1
8194,0.020078125,6755,5301,4969,6,-8,0
8449,0.019921875000000002,6762,5293,4950,6,-9,1
8707,0.02015625,6781,5279,4978,6,-8,0
8962,0.019921875000000002,6794,5240,4963,7,-9,0
9220,0.02015625,6809,5205,4987,7,-8,2
9476,0.02,6819,5192,4953,6,-9,0
9732,0.02,6835,5167,4953,7,-9,2
9986,0.01984375,6859,5148,4952,7,-8,1
10241,0.019921875000000002,6862,5128,4954,7,-8,1
10495,0.01984375,6861,5088,4982,7,-8,0
10753,0.02015625,6918,5096,4947,6,-8,1
11007,0.01984375,6901,5054,4967,6,-9,1
11261,0.01984375,6944,5043,4967,6,-8,0
11515,0.01984375,6967,5014,4973,7,-9,0
11773,0.02015625,6979,4991,4975,6,-8,1
12031,0.02015625,6998,4965,4941,6,-8,1
12288,0.020078125,6992,4956,4985,7,-9,1
12542,0.01984375,7032,4925,4956,6,-8,1
12798,0.02,7039,4897,4995,6,-9,1
13056,0.02015625,7064,4856,4953,5,-9,0
13310,0.01984375,7060,4866,4964,6,-9,1
13567,0.020078125,7088,4822,4971,6,-8,0
13821,0.01984375,7105,4794,4995,6,-9,1
14079,0.02015625,7107,4797,4968,6,-8,1
14335,0.02,7116,4746,4958,5,-8,2
14593,0.02015625,7161,4717,4985,7,-9,1
14849,0.02,7124,4722,4958,6,-9,1
15106,0.020078125,7184,4683,4957,5,-9,1
15364,0.02015625,7160,4679,4968,5,-9,1
15619,0.019921875000000002,7206,4647,4984,5,-9,1
15876,0.020078125,7204,4632,4963,6,-8,-1
16132,0.02,7243,4557,4966,6,-9,0
16388,0.02,7223,4595,4946,6,-9,0
16645,0.020078125,7245,4541,4988,6,-10,1
16900,0.019921875000000002,7255,4552,4955,6,-9,0
17154,0.01984375,7271,4497,4956,6,-9,0
17410,0.02,7290,4458,4964,5,-9,2
17668,0.02015625,7310,4466,4949,5,-9,0
17922,0.01984375,7336,4420,4972,5,-9,0
18177,0.019921875000000002,7332,4411,4965,6,-9,1
18434,0.020078125,7343,4403,4973,5,-9,2
18690,0.02,7343,4379,4948,6,-8,1
18947,0.020078125,7379,4335,4977,5,-9,1
19203,0.02,7393,4308,4965,5,-9,1
19461,0.02015625,7407,4311,4978,6,-9,1
19719,0.02015625,7408,4305,4970,5,-9,1
19975,0.02,7408,4265,4976,5,-8,1
20231,0.02,7424,4251,4987,5,-8,1
20486,0.019921875000000002,7455,4190,4986,6,-9,0
20742,0.02,7470,4175,4958,5,-9,-1
21000,0.02015625,7484,4145,4997,5,-9,1
21256,0.02,7496,4139,4971,6,-10,1
21513,0.020078125,7520,4114,5007,5,-10,0
21769,0.02,7529,4087,4980,5,-9,0
22026,0.020078125,7549,4098,4984,6,-9,0
22283,0.020078125,7535,4015,4957,6,-9,1
22539,0.02,7552,4004,4993,5,-9,1
22797,0.02015625,7563,3961,4949,5,-9,0
23055,0.02015625,7580,3959,4946,5,-9,1
23309,0.01984375,7576,3936,4994,5,-9,1
23564,0.019921875000000002,7596,3916,4982,5,-9,1
23822,0.02015625,7618,3896,4992,5,-10,2
24078,0.02,7633,3834,4969,5,-9,1
24333,0.019921875000000002,7662,3820,4968,5,-9,1
24590,0.020078125,7666,3814,4987,5,-9,1
24847,0.020078125,7667,3798,4988,5,-10,1
25101,0.01984375,7675,3764,5013,5,-9,1
25355,0.01984375,7689,3772,4974,5,-10,1
25613,0.02015625,7702,3725,4985,6,-9,1
25870,0.020078125,7751,3693,4970,5,-10,1
26125,0.019921875000000002,7716,3664,4980,5,-10,0
26383,0.02015625,7736,3646,4986,4,-9,0
26637,0.01984375,7736,3598,5000,5,-9,1
26895,0.02015625,7797,3562,4970,4,-10,0
27149,0.01984375,7761,3544,4986,5,-9,1
27406,0.020078125,7786,3532,5013,5,-10,0
27664,0.02015625,7762,3513,4980,4,-8,1
27921,0.020078125,7809,3473,4967,5,-9,0
28178,0.020078125,7806,3462,4978,4,-10,1
28433,0.019921875000000002,7821,3446,4998,5,-10,1
28688,0.019921875000000002,7839,3405,4994,5,-9,2
28943,0.019921875000000002,7828,3387,4982,5,-10,0
29197,0.01984375,7852,3350,4983,4,-10,1
29452,0.019921875000000002,7864,3344,5015,5,-9,0
29707,0.019921875000000002,7852,3334,4969,4,-9,1
29964,0.020078125,7868,3280,5001,4,-10,1
30219,0.019921875000000002,7899,3250,4959,4,-9,1
30473,0.01984375,7886,3233,4993,3,-9,0
30730,0.020078125,7917,3212,4999,5,-11,0
30986,0.02,7924,3180,4990,5,-9,1
31241,0.019921875000000002,7904,3151,4990,4,-9,1
31498,0.020078125,7943,3086,4964,5,-10,0
31753,0.019921875000000002,7969,3107,5000,5,-9,1
32010,0.020078125,7971,3115,4998,4,-9,1
32264,0.01984375,7988,3049,5001,5,-8,0
32520,0.02,7971,3025,4977,4,-11,1
32776,0.02,7994,2996,5013,4,-9,1
33031,0.019921875000000002,8010,2982,5005,4,-9,1
33288,0.020078125,8002,2958,5018,4,-9,1
33543,0.019921875000000002,8033,2926,4949,4,-11,2
33800,0.020078125,8027,2915,4971,3,-9,1
34055,0.019921875000000002,8026,2876,5026,5,-9,1
34311,0.02,8065,2846,4954,4,-9,0
34568,0.020078125,8048,2812,5008,4,-9,1
34826,0.02015625,8059,2800,4967,3,-9,1
35081,0.019921875000000002,8087,2794,5009,4,-10,1
35337,0.02,8115,2767,5002,4,-10,1
35593,0.02,8069,2715,4984,5,-10,0
35851,0.02015625,8101,2682,4986,4,-10,1
36109,0.02015625,8079,2659,4996,4,-10,1
36366,0.020078125,8127,2640,4956,4,-10,1
36624,0.02015625,8105,2597,4979,4,-10,1
36878,0.01984375,8120,2603,4990,4,-10,0
37135,0.020078125,8139,2556,4951,4,-10,2
37393,0.02015625,8116,2514,5003,5,-10,0
37650,0.020078125,8159,2474,4959,4,-9,1
37906,0.02,8159,2500,5018,4,-10,2
38164,0.02015625,8142,2472,4971,4,-10,0
38421,0.020078125,8158,2434,5002,4,-10,1
38679,0.02015625,8166,2415,4999,5,-10,1
38933,0.01984375,8199,2390,4979,4,-9,0
39190,0.020078125,8189,2352,5002,3,-11,0
39446,0.02,8183,2305,4985,3,-10,0
39704,0.02015625,8203,2318,4997,4,-10,1
39962,0.02015625,8221,2280,4974,4,-11,1
40220,0.02015625,8235,2241,5015,3,-10,1
40475,0.019921875000000002,8229,2217,4989,4,-9,1
40731,0.02,8249,2182,4999,3,-9,2
40985,0.01984375,8242,2133,4980,4,-9,1
41243,0.02015625,8265,2146,5006,4,-9,1
41498,0.019921875000000002,8271,2108,4979,4,-10,1
41755,0.020078125,8265,2077,4989,4,-9,0
42011,0.02,8267,2086,4985,3,-9,1
42269,0.02015625,8275,2027,5005,3,-9,1
42527,0.02015625,8286,2008,4986,4,-10,0
42784,0.020078125,8298,1988,4996,4,-10,1
43041,0.020078125,8294,1945,4984,4,-11,1
43295,0.01984375,8275,1924,4983,2,-10,1
43553,0.02015625,8275,1911,5011,4,-10,1
43807,0.01984375,8332,1897,5006,3,-10,1
44063,0.02,8291,1852,5024,4,-9,1
44318,0.019921875000000002,8323,1824,4977,3,-9,1
44573,0.019921875000000002,8315,1806,4988,3,-10,1
44831,0.02015625,8336,1786,4994,3,-10,2
45086,0.019921875000000002,8347,1748,4966,3,-9,1
45342,0.02,8317,1726,4982,4,-10,1
45597,0.019921875000000002,8369,1670,4975,3,-9,0
45855,0.02015625,8331,1669,4981,3,-11,0
46112,0.020078125,8361,1644,4979,4,-10,0
46368,0.02,8389,1606,4982,3,-9,2
46622,0.01984375,8359,1575,4992,3,-10,1
46876,0.01984375,8393,1567,4986,3,-10,1
47131,0.019921875000000002,8390,1520,4976,2,-9,1
47387,0.02,8410,1487,4995,4,-10,0
47645,0.02015625,8410,1455,4991,3,-10,0
47899,0.01984375,8392,1447,4976,3,-10,0
48155,0.02,8393,1415,4985,3,-10,0
48410,0.019921875000000002,8414,1408,4984,3,-10,1
48664,0.01984375,8431,1367,4965,3,-9,1
48921,0.020078125,8427,1322,4969,3,-11,1
49178,0.020078125,8435,1276,4972,2,-10,1
49436,0.02015625,8441,1292,4999,3,-10,0
49692,0.02,8437,1234,5004,3,-10,1
49947,0.019921875000000002,8434,1181,4996,3,-10,1
50205,0.02015625,8431,1179,4990,3,-10,1
50460,0.019921875000000002,8451,1153,4995,3,-11,1
50717,0.020078125,8430,1136,4979,3,-9,0
50975,0.02015625,8425,1095,5018,2,-10,1
51229,0.01984375,8432,1084,5029,3,-10,1
51487,0.02015625,8437,1034,5008,3,-9,1
51742,0.019921875000000002,8450,1044,4999,2,-11,1
51998,0.02,8472,988,5002,3,-10,1
52253,0.019921875000000002,8449,954,4985,3,-10,0
52507,0.01984375,8435,977,5005,3,-9,1
52764,0.020078125,8461,921,4987,4,-10,1
53020,0.02,8475,881,5016,2,-10,1
53276,0.02,8476,871,4993,2,-10,1
53532,0.02,8496,840,4982,2,-9,1
53789,0.020078125,8484,811,5002,2,-10,1
54047,0.02015625,8492,772,4981,2,-9,0
54303,0.02,8485,739,4984,2,-10,1
54557,0.01984375,8483,724,4972,3,-10,1
54812,0.019921875000000002,8462,709,5004,2,-10,1
55068,0.02,8515,706,4969,3,-10,1
55322,0.01984375,8504,635,5001,2,-10,1
55577,0.019921875000000002,8510,624,4992,3,-10,1
55832,0.019921875000000002,8484,580,4986,2,-10,1
56090,0.02015625,8493,589,5015,2,-10,2
56346,0.02,8497,542,4989,2,-11,1
56604,0.02015625,8487,559,4978,1,-10,2
56860,0.02,8502,494,4967,2,-11,0
57116,0.02,8504,425,4975,2,-10,1
57374,0.02015625,8508,444,5006,3,-10,1
57631,0.020078125,8513,406,4989,2,-10,1
57886,0.019921875000000002,8505,366,4985,1,-9,1
58141,0.019921875000000002,8495,361,4987,1,-9,1
58398,0.020078125,8503,322,5012,2,-11,1
58652,0.01984375,8503,322,4995,1,-10,2
58906,0.01984375,8534,294,4980,2,-10,1
59160,0.01984375,8493,229,4985,2,-10,1
59417,0.020078125,8492,207,4984,2,-9,1
59673,0.02,8502,143,4969,2,-10,0
59927,0.01984375,8538,175,4996,2,-10,1
60184,0.020078125,8538,135,5007,2,-11,1
60441,0.020078125,8510,64,4964,1,-10,1
60698,0.020078125,8518,103,4977,2,-10,0
60952,0.01984375,8516,22,5017,1,-9,1
61210,0.02015625,8531,18,4996,1,-10,1
61464,0.01984375,8504,-10,4987,3,-10,2
61720,0.02,8513,-32,4976,1,-10,2
61976,0.02,8519,-43,5006,2,-10,2
62231,0.019921875000000002,8508,-103,4978,3,-10,1
62486,0.019921875000000002,8534,-108,5026,1,-10,1
62740,0.01984375,8485,-130,4992,2,-9,1
62996,0.02,8508,-172,5011,1,-10,1
63253,0.020078125,8520,-232,4978,2,-10,0
63508,0.019921875000000002,8511,-228,5008,1,-10,1
63764,0.02,8511,-247,4978,2,-9,1
64022,0.02015625,8514,-285,4984,1,-9,1
64277,0.019921875000000002,8498,-318,5000,1,-10,1
64532,0.019921875000000002,8524,-317,5012,1,-10,1
64786,0.01984375,8503,-383,4990,1,-10,1
65042,0.02,8526,-390,5034,1,-10,1
65297,0.019921875000000002,8511,-414,5028,1,-10,1
19,0.02015625,8482,-437,5016,1,-10,0
274,0.019921875000000002,8486,-460,4990,1,-10,1
531,0.020078125,8496,-492,4980,1,-10,1
785,0.01984375,8520,-540,5012,1,-9,0
1040,0.019921875000000002,8520,-568,5028,1,-10,1
1294,0.01984375,8510,-570,4997,1,-10,1
1550,0.02,8477,-625,5001,2,-9,1
1804,0.01984375,8499,-629,4988,1,-10,0
2058,0.01984375,8498,-665,5008,1,-10,1
2314,0.02,8490,-689,4987,1,-10,0
2570,0.02,8490,-732,4990,0,-9,1
2825,0.019921875000000002,8495,-720,4995,2,-10,1
3081,0.02,8479,-772,5011,1,-9,1
3337,0.02,8486,-818,5005,1,-10,0
3594,0.020078125,8520,-836,4976,1,-10,1
3850,0.02,8486,-849,4989,1,-10,0
4108,0.02015625,8461,-905,5014,1,-9,1
4363,0.019921875000000002,8484,-940,5011,1,-10,1
4617,0.01984375,8455,-964,4988,1,-10,0
4873,0.02,8452,-980,4993,0,-11,0
5127,0.01984375,8465,-1014,4997,1,-11,1
5384,0.020078125,8476,-1030,4990,1,-10,1
5639,0.019921875000000002,8464,-1056,5006,1,-9,1
5894,0.019921875000000002,8455,-1079,5009,0,-9,1
6150,0.02,8432,-1087,5032,1,-9,1
6404,0.01984375,8423,-1160,5003,0,-10,1
6659,0.019921875000000002,8454,-1182,4992,1,-10,1
6917,0.02015625,8434,-1179,5016,1,-9,0
7174,0.020078125,8454,-1227,5003,1,-10,1
7430,0.02,8421,-1262,5012,1,-9,1
7686,0.02,8409,-1254,4994,1,-10,2
7942,0.02,8413,-1301,5001,0,-10,2
8200,0.02015625,8415,-1317,4958,0,-10,0
8458,0.02015625,8435,-1355,4997,0,-11,0
8714,0.02,8429,-1409,4988,0,-9,1
8972,0.02015625,8402,-1385,4988,1,-11,1
9226,0.01984375,8400,-1447,4996,0,-10,1
9481,0.019921875000000002,8393,-1450,5006,0,-10,1
9736,0.019921875000000002,8405,-1455,5014,1,-8,1
9993,0.020078125,8400,-1503,4985,0,-10,1
10250,0.020078125,8386,-1538,5016,1,-10,0
10506,0.02,8401,-1556,4976,0,-10,1
10761,0.019921875000000002,8392,-1590,5009,0,-10,1
11017,0.02,8374,-1622,4972,0,-10,1
